n_clusters,n_dims,n_samples,algorithm,param,distance_calculations_average,fit_time_average
9,8,100000.0,rpkm,4.0,18029664.0,4.511989140510559
9,8,100000.0,rpkm,5.0,19648986.3,7.847055244445801
9,8,100000.0,rpkm,6.0,19648986.3,11.287132596969604
9,8,1000000.0,k-means++,None,143100000.0,0.7992003202438355
9,8,1000000.0,mb-kmeans,100.0,47753370.0,1.9137548923492431
9,8,1000000.0,mb-kmeans,500.0,50854500.0,0.7925279140472412
9,8,1000000.0,mb-kmeans,1000.0,53105400.0,0.6329321384429931
9,8,1000000.0,rpkm,1.0,15579.9,0.2545185089111328
9,8,1000000.0,rpkm,2.0,186458.4,0.6463210105895996
9,8,1000000.0,rpkm,3.0,4934648.7,2.877448058128357
9,8,1000000.0,rpkm,4.0,110127285.0,21.378701305389406
9,8,1000000.0,rpkm,5.0,192510870.3,50.16852333545685
9,8,1000000.0,rpkm,6.0,201510664.2,80.80664529800416
